"data","Somalia","jowhar","hargeysa","buuhoodle","burco","sheikh","caynabo","laas_caanood","owdweyne","ceel_afweyn","xudun","ceerigaabo","laasqoray","bossaso","xamar_weyne","qardho","garowe","burtinle","gaalkacyo","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","belet_weyne","waaberi","boondheere","marka","afgooye","hodan","wanla_weyn","baidoa","diinsoor","xudur","ceel_barde","waajid","garbahaarey","baardheere","ceel_waaq","doolow","belet_xaawo","luuq","kismayo","afmadow","lughaye","zeylac","dharkenley","daynile","hawl_wadaag","kahda","baki","borama","berbera","gebiley","cabdlcasiis","karaan","shibis","shangaani","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid"
"Less than 1 month ago","3.76","0","0","0","0","0","0","0","0","0","0","0","0","0","28.57","0","0","0","0","0","0","0","0","0","3.26","0","0","14.29","0","4.11","0","1.7","0","0","25","16.67","0","0","0","0","0","0","0.55","5.56","0","0","0","11.86","4.76","5.06","0","0","0","0","5.56","0","0","0","0","0","0","16.67"
"In the past 3 months, how many individuals have arrived to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","16.31","1.83","23.32","24.38","30.93","8.75","4.38","30.11","9.17","3.75","12.22","9.67","13.6","39.35","30.71","16.67","27.37","30.5","16.27","7.4","0.33","17","48.62","17.2","21.02","17.25","26.25","6.57","16.05","20.88","3.83","14.52","11.25","7.89","0","9.17","38.25","62.5","13.33","175","69.62","31.08","8.15","27.06","13.37","34.2","6.89","17.6","0.38","15.01","27.38","20.3","29.2","10","13.33","0","1.25","6","17.21","39.45","0","5.5"
"In the past 30 days, how many individuals have arrived to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","8.84","5","12","10.08","19.58","10.4","4.8","9.67","5.21","5.83","3.88","4.5","2.71","12.69","28","6.33","11.48","6.5","6.02","6","1","4.4","22","3","7.02","13.83","60","2.25","6.73","19.45","2.75","9.18","6.17","1.75",NA,"5.67","10","21.67","5","85","16.75","9.31","4.92","17.69","14.44","7.4","4.5","8.56","3","7.16","10.25","7.12","11.67","7.5","7.8",NA,"0","3.6","18.67","28.73",NA,"6.25"
"In the past 3 months, how many individuals have departed from this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","2.45","0.13","0.72","1.38","8.8","9.25","4.25","2","4.5","1","1.22","4.56","0.33","3.88","0.29","4.67","7.67","3","3.42","10","5.33","0.5","0","10.4","2.02","11.33","1.25","1.57","1","4.84","0.5","2.74","4.92","0","0","1.67","7","0.25","5.33","21","5.62","2.77","1.46","16.06","0.42","0.8","0.67","2","0.19","1.39","3.88","2.2","3.2","0","0.94","0","0","0","6.42","2","0","0.17"
"cccm_3month_arrive_minus_depart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","13.87","1.67","22.6","22.88","18.53","-1.5","0.5","25.94","3.78","1.25","11","5.56","13.27","35.88","30.43","11.17","19.26","28.75","13.84","-5.8","-5","16.4","64.75","6.8","19.01","6.33","24.75","5","14.77","16.04","3.5","11.58","6.5","7.89","0","5.17","28","62.25","8.33","172.5","63.5","28.15","6.71","11.28","12.79","33.6","6","15.92","-0.1","13.29","24","18.5","30.2","10","12.44","0","1.25","5.86","12.74","37.45","0","4.83"
"Is there an agency responsible for managing this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Local authority","31","29","80","6","27","12","38","6","28","62","11","11","0","98","57","0","100","100","39","100","0","100","0","100","7","8","75","14","14","36","0","18","25","33","75","100","0","0","0","100","12","8","52","100","84","60","44","28","57","23","25","0","80","0","44","0","0","71","47","9","33","67"
"UN agency","8","14","0","0","0","0","0","0","0","0","0","0","0","4","14","0","37","0","3","0","0","0","0","100","5","8","0","0","0","3","0","16","0","0","0","0","0","0","0","50","0","8","8","33","0","0","4","5","10","5","0","10","0","0","6","0","0","0","0","0","0","67"
"Local NGO","16","28","56","0","33","12","50","0","0","50","0","22","0","25","14","8","19","0","6","0","0","0","0","20","9","17","50","14","0","5","0","31","0","0","0","0","0","25","0","0","12","62","21","33","0","40","7","12","10","6","12","10","0","0","0","0","0","14","16","0","0","67"
"International NGO","17","16","60","0","13","50","38","0","17","25","11","22","0","6","14","0","7","0","7","100","0","0","0","0","3","17","0","0","0","4","0","49","8","0","0","0","0","0","0","0","0","31","10","39","0","20","11","4","10","5","0","0","0","0","0","0","0","0","0","0","33","67"
"Residents themselves","27","20","4","19","20","0","0","6","78","0","33","44","20","35","0","0","0","0","62","0","0","0","38","40","15","8","0","29","0","20","0","37","83","11","100","0","50","75","0","0","100","46","56","33","0","0","11","23","0","14","0","0","0","0","28","0","0","0","5","0","0","0"
"Community Leader","37","33","8","100","53","12","25","44","83","0","33","100","80","38","14","0","15","0","75","100","33","0","50","80","14","0","0","29","3","35","0","24","75","89","0","0","75","100","0","50","100","46","49","28","58","40","44","44","38","41","50","90","10","0","39","0","0","14","37","27","100","17"
"Gatekeeper","35","20","0","38","67","0","12","17","17","0","11","56","87","19","71","0","7","0","86","100","67","0","100","100","39","67","25","71","6","31","0","8","92","0","0","0","50","0","0","50","50","77","15","22","5","20","67","63","52","52","12","0","10","0","33","100","50","71","53","18","67","83"
"Local community","28","14","4","94","33","0","25","72","61","0","56","100","87","21","57","17","15","25","56","40","0","0","25","80","26","8","0","14","4","23","0","8","92","22","50","0","50","0","33","100","62","23","24","28","11","20","37","40","48","38","75","0","10","0","44","0","0","43","63","18","67","83"
"No management","14","14","12","0","7","38","0","28","0","0","22","0","0","0","0","75","0","0","0","0","0","0","0","0","32","8","0","0","78","27","100","11","0","0","0","0","25","0","67","0","0","15","1","0","0","0","15","9","5","24","0","10","0","100","17","0","50","0","0","45","0","0"
"Other","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","5","0","0","0"
"Do not know","2","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","5","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","3","0","5","0","0","0","25","0","0","0","0","0","9","0","0"
"Are there any of the following committees established at the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residents’ committee","76","61","60","100","100","75","25","100","100","0","89","89","100","90","57","100","85","100","88","100","67","20","12","0","50","67","50","43","66","80","0","80","92","100","100","67","75","75","100","50","100","85","81","78","84","80","81","79","81","68","100","70","100","50","83","50","50","86","79","82","33","83"
"Camp Management Committee","86","68","92","94","100","100","100","100","100","100","100","100","93","100","86","100","100","100","95","100","100","100","100","100","73","67","100","71","92","80","17","85","100","100","100","100","100","100","100","100","100","100","95","100","100","100","89","80","81","86","100","100","90","50","83","100","100","100","68","91","100","100"
"Women’s committee","78","57","60","100","100","100","50","44","89","100","78","100","93","94","57","100","96","100","100","100","100","70","75","100","72","75","50","86","77","62","17","82","100","100","100","17","75","100","100","100","12","77","83","61","89","100","78","71","71","75","100","80","80","75","78","50","50","86","63","100","100","83"
"Elder","45","41","0","88","93","75","25","44","56","0","89","100","40","79","29","83","70","100","85","0","0","10","88","60","23","33","50","86","24","15","0","42","58","0","0","0","50","25","67","100","75","23","47","28","68","40","67","45","62","44","100","20","80","0","28","0","50","57","53","82","67","67"
"WASH committee","33","9","4","88","100","75","25","33","6","75","33","89","47","98","0","92","48","100","66","100","0","0","75","80","22","25","0","29","5","14","0","45","92","11","50","0","25","25","0","100","38","85","36","33","79","100","15","25","43","7","100","0","40","0","0","0","0","14","11","27","67","0"
"Health committee","21","4","20","94","87","50","25","61","0","0","0","100","33","81","29","67","11","0","57","60","0","0","50","80","15","42","0","0","4","1","0","30","42","0","0","0","0","0","0","100","38","46","13","22","68","80","7","13","10","6","75","0","30","75","0","0","0","0","0","9","67","0"
"Education committee","14","3","28","75","87","0","38","67","6","0","11","89","60","65","0","75","0","25","53","0","0","0","75","40","11","25","0","0","3","0","0","8","50","11","25","0","0","0","0","50","62","8","6","11","74","100","11","10","0","4","62","0","60","100","0","0","0","0","16","9","33","0"
"Children's committee","7","1","0","50","67","0","25","0","0","0","0","67","0","48","14","17","7","0","36","20","0","0","38","0","7","8","0","14","0","0","0","3","0","0","0","0","0","0","0","0","12","0","3","0","0","0","7","6","0","1","12","0","20","0","0","0","0","0","11","9","67","17"
"No committees","3","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0","3","3","67","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","7","0","0","0","0","11","0","0","0","0","0","0","0"
"Do not know","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Are women involved in decision-making in committees established at the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","99.5","94","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.49","100","100","100","100","100","100","100","100","100","100","97.8","100","100","100","100","99.75","100","99.69","100","100","100","100","100","100","100","100","100","100","100","100"
"No","0.5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.51","0","0","0","0","0","0","0","0","0","0","2.2","0","0","0","0","0.25","0","0.31","0","0","0","0","0","0","0","0","0","0","0","0"
"Who owns the land on which the site is established?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Private owner","75","14.49","20","18.75","6.67","25","12.5","11.11","16.67","0","33.33","0","0","83.33","28.57","33.33","74.07","0","71.59","80","100","60","50","20","94.57","75","25","57.14","72.15","48.65","50","86.08","41.67","44.44","0","50","75","75","0","0","25","38.46","86.81","16.67","0","0","55.56","96.06","61.9","96.22","0","10","10","25","38.89","0","0","42.86","89.47","45.45","100","100"
"NC","6.29","7.25","20","0","40","37.5","0","0","22.22","87.5","0","55.56","6.67","12.5","28.57","25","7.41","0","10.23","0","0","10","12.5","60","2.17","16.67","25","14.29","0","8.11","16.67","6.62","58.33","11.11","75","33.33","0","0","0","0","12.5","15.38","1.1","11.11","5.26","40","3.7","1.62","0","0.58","0","40","20","25","0","50","25","0","5.26","0","0","0"
"Local authority / government","6.13","30.43","20","0","13.33","0","25","0","16.67","0","0","0","0","0","14.29","33.33","11.11","75","10.23","20","0","0","0","20","0","0","25","0","18.99","21.62","0","0.17","0","11.11","25","16.67","0","0","66.67","100","0","15.38","9.34","38.89","0","40","11.11","0.46","38.1","0","25","40","20","0","38.89","0","0","14.29","5.26","9.09","0","0"
"No owner","5.97","17.39","0","81.25","26.67","25","37.5","88.89","38.89","0","66.67","0","93.33","2.08","0","0","0","0","6.82","0","0","10","12.5","0","0","0","0","28.57","0","0","0","0.85","0","0","0","0","25","0","33.33","0","12.5","23.08","0","33.33","94.74","20","0","0.93","0","3.2","75","0","50","0","0","0","0","0","0","0","0","0"
"Mixed landownership","3.86","11.59","40","0","13.33","12.5","25","0","5.56","12.5","0","44.44","0","2.08","28.57","8.33","7.41","25","1.14","0","0","10","12.5","0","2.17","0","0","0","0","0","0","6.11","0","33.33","0","0","0","25","0","0","50","7.69","1.1","0","0","0","25.93","0","0","0","0","10","0","25","0","0","0","0","0","0","0","0"
"Federal government","2.59","18.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","8.33","25","0","8.86","21.62","0","0.17","0","0","0","0","0","0","0","0","0","0","1.65","0","0","0","3.7","0.93","0","0","0","0","0","25","22.22","50","75","42.86","0","45.45","0","0"
"Prefer not to answer","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Private owner","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Is there an existing land tenure agreement between residents' and the land owner of the site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes, written agreement","45.87","3.7","50","0","0","0","0","0","10","0","0","0","0","31.91","14.29","0","62.96","75","17.28","20","0","0","28.57","0","24.18","0","0","20","7.59","18.92","0","68.32","8.33","0","0","0","0","0","0","50","0","10","8.24","50","0","0","26.92","64.85","0","77.92","0","0","0","0","22.22","0","0","0","11.11","0","0","0"
"No agreement","22.18","83.33","37.5","0","63.64","83.33","100","0","80","100","66.67","100","100","29.79","71.43","91.67","7.41","25","40.74","0","0","44.44","14.29","0","30.77","66.67","100","60","49.37","21.62","0","4.28","91.67","88.89","100","16.67","0","0","100","50","42.86","50","31.87","0","100","100","34.62","9.74","70","4.42","100","100","100","75","16.67","50","100","57.14","11.11","72.73","66.67","83.33"
"Yes, oral agreement","19.86","9.26","4.17","100","0","0","0","100","0","0","0","0","0","23.4","0","0","22.22","0","25.93","80","66.67","22.22","28.57","20","31.87","33.33","0","20","34.18","47.3","75","9.59","0","11.11","0","50","100","100","0","0","28.57","0","51.1","25","0","0","34.62","15.2","10","10.09","0","0","0","25","61.11","50","0","28.57","66.67","18.18","33.33","16.67"
"NC","12.08","3.7","8.33","0","36.36","16.67","0","0","10","0","33.33","0","0","14.89","14.29","8.33","7.41","0","16.05","0","33.33","33.33","28.57","80","13.19","0","0","0","8.86","12.16","25","17.81","0","0","0","33.33","0","0","0","0","28.57","40","8.79","25","0","0","3.85","10.21","20","7.57","0","0","0","0","0","0","0","14.29","11.11","9.09","0","0"
"In the past 3 months, how many individuals have been evicted from this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","0.99","0","0","0.25","0.07","0","0","0.44","0.06","0","0","0","0","10.46","0","0","2.52","0","0.01","0","0","0","0","0","0.15","0.08","0","6","0","1.46","0.5","1.35","0.17","0","0","0","0","0","0","0","0","1.54","0.75","9.67","0","0","0.11","0.77","0","0.53","0","2.4","0","0","0","0","0.5","0","3.11","1.27","0","0"
"In the past 3 months, has this site been issued an eviction notice?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No","85.59","93.44","88","93.75","80","87.5","100","88.89","100","87.5","100","77.78","100","45.83","83.33","91.67","51.85","100","88.64","100","66.67","100","100","80","96.63","83.33","100","71.43","94.67","90.28","75","80.17","100","100","100","100","75","50","66.67","100","100","83.33","76.84","55.56","100","100","70.83","90.73","89.47","91.02","87.5","90","100","75","100","100","75","85.71","73.68","100","33.33","100"
"Yes","14.41","6.56","12","6.25","20","12.5","0","11.11","0","12.5","0","22.22","0","54.17","16.67","8.33","48.15","0","11.36","0","33.33","0","0","20","3.37","16.67","0","28.57","5.33","9.72","25","19.83","0","0","0","0","25","50","33.33","0","0","16.67","23.16","44.44","0","0","29.17","9.27","10.53","8.98","12.5","10","0","25","0","0","25","14.29","26.32","0","66.67","0"
"What are the most common types of shelters present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buul","93","83","100","100","100","100","100","94","100","100","100","100","100","92","57","67","85","75","94","100","100","100","88","100","71","67","50","100","82","74","100","98","100","100","100","100","100","100","100","100","100","92","93","100","100","100","85","97","100","94","100","90","100","100","56","100","0","71","89","100","100","100"
"Tent","27","55","0","6","0","0","0","0","0","100","0","0","0","50","14","8","37","0","31","20","67","20","12","0","40","33","0","0","15","35","0","17","8","0","0","0","0","0","0","50","0","15","10","50","0","20","48","41","14","34","0","0","10","25","39","50","50","0","89","27","33","67"
"Timber and plastic sheet with CGI roof","9","35","0","6","0","0","0","0","0","0","0","0","0","21","29","8","22","0","5","0","67","20","0","20","8","17","0","0","11","8","0","7","0","89","25","0","0","0","0","100","0","23","9","28","0","0","15","11","5","6","0","0","10","0","11","0","25","0","21","0","33","50"
"Shelter constructed using shelter kit","37","48","0","0","7","12","0","6","6","0","0","11","67","79","86","8","56","25","55","0","100","20","25","20","29","42","0","0","20","23","33","36","0","67","0","0","0","25","0","100","0","62","36","33","16","0","30","52","76","35","0","0","10","0","22","0","0","14","58","9","33","100"
"CGI sheet wall and roof","30","38","84","50","13","38","0","89","50","38","11","78","67","90","86","83","52","0","69","80","67","100","100","40","15","58","100","0","41","46","0","13","0","0","25","0","25","25","0","100","12","38","46","28","26","40","52","19","52","12","0","30","30","50","72","0","75","100","68","82","67","100"
"Mud and stick wall with CGI roof","9","25","24","12","0","50","25","11","6","25","11","44","27","15","29","8","63","0","8","60","33","0","12","20","10","25","25","0","8","4","0","5","8","11","25","0","0","25","0","100","75","0","16","39","0","20","30","2","24","3","0","0","10","75","6","0","0","14","5","18","67","33"
"Plywood wall with CGI roof","4","33","16","19","0","0","25","0","0","0","0","11","47","19","29","8","11","0","6","0","0","10","0","0","4","0","0","0","1","1","0","2","0","0","25","0","0","0","0","50","12","0","3","6","0","0","4","0","0","1","12","10","10","0","0","0","0","0","0","0","0","0"
"Stone/brick wall with CGI roof: Type 1","5","35","36","6","7","0","0","0","22","0","11","67","67","15","14","0","4","75","12","20","0","40","0","0","0","8","0","0","16","0","0","1","0","0","0","0","0","0","0","100","0","0","1","6","16","20","0","0","0","1","12","30","10","0","6","0","0","0","0","0","0","0"
"Stone/brick wall with CGI roof: Type 2","5","39","40","0","0","0","0","67","6","0","0","100","40","0","29","33","7","100","7","20","0","50","0","0","0","17","0","0","15","0","0","1","0","0","0","0","0","0","0","0","0","0","2","22","16","0","0","0","0","0","0","10","10","0","0","0","0","29","0","0","0","0"
"Other","1","16","0","0","0","12","0","0","0","0","0","0","0","0","14","8","7","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0"
"Buul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
